Index,Bankrupt?,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability,cluster_id
25,0,0.476185833,0.519733973,0.51126934,0.604484066,0.604368757,0.99896331,0.797383788,0.809221305,0.30352646,0.781465834,0.000178311,4550000000.0,0.460969779,0.000444044,0.0,0.152374531,0.152374531,0.152374531,0.209416659,0.317005022,0.011358652,0.095350541,0.17006854,0.022425198,0.848157538,0.689532417,0.689532417,0.217601558,5870000000.0,0.00042682,0.264142015,0.374939458,0.006014958,0.003520955,0.627640375,0.011146372,0.162771714,0.837228286,0.005032297,0.379978662,0.005365848,0.095323009,0.169097353,0.403111908,0.076461769,0.000758828,0.00832732,493000000.0,7410000000.0,0.027096774,0.011101156,0.392030936,0.017733442,0.751888756,0.253560482,0.413557284,0.020511436,0.003590229,0.000855262,0.127062917,0.339717513,0.293309409,0.006615106,0.74159104,0.732042497,0.333612156,0.008347345,0.904831432,0.002167746,0.030225493,0.000208756,0.000129588,0.593916406,2830000000.0,0.671565265,0.504596784,0.74159104,0.333612156,0.118177044,0.636340909,0.458240215,0.559680309,0.313204769,0.047784608,0,0.78493782,0.00080882,0.623309286,0.604483625,0.838910021,0.282863066,0.039854416,0.569820128,1,0.022063246,2
51,0,0.43889241,0.502071522,0.484126559,0.620980412,0.620980412,0.998626606,0.797126198,0.809067933,0.303780969,0.781168851,0.000781818,0.000122245,0.412682117,0.0,0.0,0.162951414,0.162951414,0.162951414,0.20686395,0.311522954,0.004280291,0.088510708,0.166001356,0.023651374,0.847930212,0.68934253,0.68934253,0.21756494,5890000000.0,0.000431212,0.263983495,0.35966432,0.0892615,0.084263999,0.630612252,0.000497907,0.015206941,0.984793059,0.009171076,0.369637181,0.005365848,0.08852411,0.165025262,0.396374442,0.043478261,0.000657381,0.009623554,0.000127637,0.000292008,0.013870968,0.003595611,0.387926551,0.00121408,0.975642236,0.871059173,0.876701727,0.029432687,0.085111886,0.008279025,0.018428298,0.202918642,0.277000579,0.011037229,0.941025662,0.741763875,0.326689744,0.0,0.919536211,0.002154168,0.039197423,0.000816607,0.000819437,0.594446204,7190000000.0,0.671518294,0.060296646,0.941025662,0.326689744,0.110933234,0.614313146,0.420998328,0.47957605,0.311739396,0.003088868,0,0.778555791,8780000000.0,0.624416136,0.620978411,0.839186553,0.275140279,0.026791157,0.565158396,1,0.221132904,2
60,0,0.479354556,0.532272133,0.531452433,0.606682137,0.606746998,0.998995317,0.797362069,0.809283149,0.303421804,0.781501343,0.000184556,3770000000.0,0.466037593,0.000618062,0.0,0.172643378,0.172643378,0.172643378,0.208282122,0.324184763,0.021855196,0.098689032,0.168562175,0.02207467,0.847994996,0.688796818,0.688796818,0.217404125,7190000000.0,0.000420556,0.263846734,0.383527067,0.005495771,0.004577117,0.654476651,0.009862392,0.153701968,0.846298032,0.005192669,0.378010347,0.007271863,0.098579966,0.167589171,0.399546906,0.095952024,0.000728394,0.008689378,0.000235402,0.000118014,0.028548387,0.011579983,0.393263382,0.012717533,0.744675475,0.242064064,0.27084886,0.038437434,0.004821783,0.002226515,0.091330265,0.348574636,0.276050218,0.002097386,0.560552093,0.731415576,0.331187172,0.022965047,0.930078706,0.002212008,0.033834616,0.000111057,0.000103888,0.593907907,4530000000.0,0.67158255,0.406684516,0.560552093,0.331187172,0.12327144,0.65418797,0.461143332,0.60396459,0.316746414,0.052088237,0,0.79239256,0.010121537,0.623502642,0.606677665,0.839698384,0.281931582,0.024330355,0.573989743,1,0.023583315,2
78,0,0.406425194,0.429786306,0.446704856,0.536264576,0.536264576,0.993104026,0.790579236,0.802458595,0.303894325,0.774145114,0.004949242,0.005823978,0.447873313,0.000438044,0.0,0.166533227,0.166533227,0.166533227,0.188522265,0.312194949,0.000786485,0.073772494,0.150711757,0.02131576,0.848018888,0.689181382,0.689181382,0.217568158,593000000.0,0.000390536,0.263650139,0.366174882,0.009403403,0.007925893,0.63042972,0.004061682,0.090878858,0.909121142,0.005070033,0.374490866,0.005365848,0.073794519,0.149732298,0.394080836,0.005997001,0.001288385,0.004911684,0.000126299,378000000.0,0.009677419,0.000831338,0.375658624,0.026708708,0.770541163,0.192590392,0.198281079,0.045491042,0.008890346,0.005969243,0.040050496,0.323776481,0.277068966,0.001680435,0.406206127,0.733111271,0.327707101,0.028268526,0.892625362,0.001905523,0.03217587,0.001561824,0.001530412,0.594301518,0.000906372,0.67072628,0.701425256,0.406206127,0.327707101,0.118749822,0.587994111,0.444143352,0.514013712,0.307156312,0.030998645,0,0.734826381,0.001358163,0.623859873,0.536260346,0.835944054,0.277724905,0.026791157,0.565158396,1,0.042037028,2
81,0,0.482425779,0.548517226,0.530917073,0.610667493,0.610667493,0.999155003,0.797516042,0.809403451,0.303356545,0.781669905,8750000000.0,0.0,0.455915385,0.000362036,0.248102035,0.197252539,0.197252539,0.197252539,0.229932873,0.223951333,0.033047476,0.125152675,0.187467048,0.022248631,0.848404593,0.689222671,0.689222671,0.217585341,0.000103301,0.000455218,0.263650139,0.236559741,0.007093894,0.000371185,0.633068383,0.040125298,0.24207153,0.75792847,0.175089038,0.410427147,0.005394487,0.125116029,0.185144408,0.457627913,0.04197901,0.014618608,0.000432932,497000000.0,0.064043586,0.03,0.210992465,0.528595011,0.000461123,0.791961131,0.078291136,0.961314353,0.005847572,0.000462222,0.00012399,0.250330065,0.32431504,0.279905117,0.017472288,0.994618323,0.741106545,0.361623765,1150000000.0,0.935902026,0.00236591,0.007058485,0.001125843,9150000000.0,0.594037185,1790000000.0,0.671554878,0.000311988,0.994618323,0.361623765,0.110988987,0.635556274,0.458489401,0.438036113,0.310878528,0.04077025,0,0.801566055,0.005321662,0.61783831,0.61066235,0.841437549,0.303878757,0.027383548,0.5669684,1,0.013547116,2
83,0,0.471554624,0.532871784,0.524492746,0.60106084,0.601514868,0.99892102,0.797363175,0.809308798,0.303578908,0.781566746,0.000174842,1000000000.0,0.460454778,0.000565057,0.0,0.196451898,0.196451898,0.196451898,0.214616621,0.316686709,0.014459216,0.092500611,0.169014085,0.021993806,0.847895814,0.689126559,0.689126559,0.217562059,9340000000.0,0.000508321,0.263245293,0.37507917,0.010956596,0.008812994,0.634330694,0.003385951,0.079813768,0.920186232,0.005589275,0.37133709,0.005365848,0.092522025,0.168071789,0.397949956,0.070464768,0.000643178,0.009832762,0.000126872,0.000182316,0.019032258,0.006727083,0.39104724,0.00688272,0.791264208,0.272033546,0.327165691,0.038686533,0.008852224,0.003617617,0.056392964,0.338803258,0.277198643,0.005785853,0.654566431,0.734225611,0.32822019,0.004342737,0.94214951,0.002232349,0.014572717,0.000212903,0.000181484,0.593984351,6850000000.0,0.671522271,0.252080184,0.654566431,0.32822019,0.112788641,0.606365478,0.44788011,0.55966205,0.309884573,0.026681819,0,0.796148959,0.001219051,0.624018178,0.601062286,0.84005305,0.277234905,0.025981584,0.548655304,1,0.048139984,2
125,0,0.412177643,0.474269516,0.457733283,0.0,0.0,0.988045253,0.784311721,0.796606875,0.303525735,0.76787408,0.001407412,0.0,0.0,0.000345035,0.0,0.199443766,0.199443766,0.199443766,0.1987331,0.314599986,0.00025712,0.082078007,0.156737215,0.021600642,0.847191424,0.683591049,0.683591049,0.216859401,8580000000.0,0.000520174,0.262967884,0.372238367,1.0,1.0,0.63060506,474000000.0,0.001511624,0.998488376,0.004715752,0.369637181,0.006179317,0.082075333,0.156805671,0.393662843,0.00149925,0.049356315,0.000128086,19100000.0,0.0,0.009032258,0.00937679,0.050914724,0.0,0.818354549,0.253037822,0.242416821,0.000904087,1.0,0.010061762,0.0,0.231267612,0.27697486,0.0,0.063817399,0.734744723,0.326174539,0.0,0.931763592,0.0,0.002265579,0.007307076,0.007655675,0.598914538,6880000000.0,0.670040811,0.0,0.063817399,0.326174539,0.110933234,0.616907979,0.343843673,0.544180131,0.312114571,0.0,0,0.766285396,0.002466234,0.626785524,0.0,0.83865161,0.27481328,0.026788892,0.565147576,1,0.7435883,2
139,0,0.463169697,0.546445704,0.540285883,0.612498018,0.612498018,0.998939045,0.797349895,0.809339394,0.303518,0.781597483,0.000333033,0.000280655,0.449376379,0.00090209,0.0,0.161181577,0.161181577,0.161181577,0.216507516,0.302574804,0.014413842,0.09372201,0.167959629,0.023401069,0.848146798,0.689774067,0.689774067,0.217635893,0.000159237,0.000584382,0.265653387,0.342368019,0.012766263,0.008056275,0.631260873,0.00491159,0.103304411,0.896695589,0.007383012,0.371174927,0.005365848,0.0937271,0.167378026,0.403023487,0.148425787,0.001128098,0.005601643,9190000000.0,0.000938814,0.030967742,0.007884494,0.391363832,0.001255749,0.856957774,0.557571391,0.737071167,0.234546315,0.009340487,0.011434298,0.108608733,0.304957249,0.277236293,0.009196516,0.989949704,0.738680159,0.330586626,0.0,0.913609635,0.002253929,0.041222455,0.000272226,0.000209095,0.594017679,0.000234978,0.671571679,0.069335808,0.989949704,0.330586626,0.110933234,0.642130272,0.459079804,0.443710045,0.314451583,0.022944634,0,0.801735472,0.000253291,0.62388195,0.61249533,0.840452932,0.278341334,0.026522187,0.563438013,1,0.036680343,2
163,0,0.482523278,0.527365896,0.526955404,0.597904265,0.597904265,0.998991388,0.797383511,0.809297341,0.303467243,0.781560992,4640000000.0,374000000.0,0.472895331,0.000218022,0.0,0.175298133,0.175298133,0.175298133,0.214143897,0.318950272,0.018164769,0.097793339,0.170143858,0.022139179,0.849713379,0.688978539,0.688978539,0.217550876,6210000000.0,0.000444213,0.263811766,0.378450877,0.049528083,0.025715327,0.630183148,0.00073683,0.021979019,0.978020981,0.005544948,0.369637181,0.005365848,0.097790154,0.169180303,0.396280661,0.136431784,0.00191939,0.003293527,0.00024209,0.000221654,0.02516129,0.024746266,0.394473214,0.014017715,0.841279967,0.313258743,0.372033014,0.025242675,0.040207207,0.009209834,0.014098069,0.35931188,0.277083526,0.024397061,0.53259988,0.735982468,0.326578797,0.0,0.930659002,0.00221632,0.026935045,9910000000.0,8720000000.0,0.593983141,1970000000.0,0.671569498,0.316228869,0.53259988,0.326578797,0.110933234,0.638295309,0.45466463,0.580005877,0.31409724,0.005793984,0,0.79379643,0.002319186,1.0,0.597900483,0.839932,0.275313508,0.027125306,0.566368921,1,0.163346659,2
165,0,0.434894945,0.496783689,0.487874083,0.618847202,0.618847202,0.99907204,0.797238946,0.809196828,0.303045962,0.781445904,0.000301811,6500000000.0,0.465319611,0.000335034,0.0,0.155872066,0.155872066,0.155872066,0.19476222,0.3297022,0.037267269,0.114567218,0.15101303,0.02216203,0.863108676,0.682675202,0.682675202,0.216820082,6810000000.0,0.00039131,0.263366514,0.396054543,0.005531964,0.005153546,0.629733497,0.026928934,0.221725066,0.778274934,0.005094588,0.389409796,0.005365848,0.114539059,0.15000377,0.413682322,0.131934033,0.000576223,0.010978708,0.000537297,0.000193663,0.057096774,0.011577046,0.396225775,0.007875587,0.741336438,0.479891567,0.473201375,0.039099008,0.005506885,0.001318646,0.157206906,0.348700385,0.276772417,0.00042182,0.676458395,0.730430974,0.342498836,0.01420947,0.91715891,0.002178972,0.077674549,0.000141042,0.000149214,0.593907051,3300000000.0,0.671577947,0.351747449,0.676458395,0.342498836,0.135904758,0.65159349,0.460280001,0.621828801,0.317741945,0.051766317,0,0.772771229,0.000291832,0.62370688,0.618845939,0.835820351,0.294308656,0.026602762,0.564065198,1,0.015163711,2
181,0,0.479013309,0.58313345,0.525509931,0.609788264,0.609788264,0.999050433,0.797924976,0.809804069,0.304289745,0.781493623,0.00017808,0.0,0.465046174,0.000642064,0.030772345,0.209599258,0.209599258,0.209599258,0.211402099,0.322946877,0.009649561,0.099259018,0.188973413,0.022042448,0.847967045,0.689908699,0.689908699,0.217547568,6840000000.0,0.000488956,0.26438601,0.381068142,0.002291413,0.00161138,0.631325256,0.0047976,0.101702089,0.898297911,0.005771783,0.374627306,0.00729319,0.099215073,0.187881759,0.394816344,0.031484258,0.001468962,0.004305409,0.00011044,7640000000.0,0.014354839,0.027360721,0.40011533,0.044413349,0.714199728,0.065466562,0.087194139,0.004190944,0.001756301,0.000320309,0.069103921,0.347691625,0.276882223,0.001739167,0.635038168,0.729625566,0.328961516,0.03290667,0.942101284,0.002537771,0.014040241,0.000111767,8860000000.0,0.593792,1460000000.0,0.671507108,0.202730473,0.635038168,0.328961516,0.115340308,0.618787618,0.453304486,0.588051515,0.311129895,0.116788488,0,0.821255822,0.01179408,0.620777728,0.609783336,0.841830133,0.278258708,0.027043923,0.566131,1,0.037291213,2
