Index,Bankrupt?, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ¥), Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,ClusterID,Cluster
51,0,0.43889241,0.502071522,0.484126559,0.620980412,0.620980412,0.998626606,0.797126198,0.809067933,0.303780969,0.781168851,0.000781818,0.000122245,0.412682117,0.0,0.0,0.162951414,0.162951414,0.162951414,0.20686395,0.311522954,0.004280291,0.088510708,0.166001356,0.023651374,0.847930212,0.68934253,0.68934253,0.21756494,5890000000.0,0.000431212,0.263983495,0.35966432,0.0892615,0.084263999,0.630612252,0.000497907,0.015206941,0.984793059,0.009171076,0.369637181,0.005365848,0.08852411,0.165025262,0.396374442,0.043478261,0.000657381,0.009623554,0.000127637,0.000292008,0.013870968,0.003595611,0.387926551,0.00121408,0.975642236,0.871059173,0.876701727,0.029432687,0.085111886,0.008279025,0.018428298,0.202918642,0.277000579,0.011037229,0.941025662,0.741763875,0.326689744,0.0,0.919536211,0.002154168,0.039197423,0.000816607,0.000819437,0.594446204,7190000000.0,0.671518294,0.060296646,0.941025662,0.326689744,0.110933234,0.614313146,0.420998328,0.47957605,0.311739396,0.003088868,0,0.778555791,8780000000.0,0.624416136,0.620978411,0.839186553,0.275140279,0.026791157,0.565158396,1,0.221132904,1,1
68,0,0.566616292,0.636066289,0.62150008,0.600224852,0.600210438,0.999041305,0.797602781,0.809502011,0.303745681,0.781773484,3350000000.0,1310000000.0,0.461986362,870000000.0,0.069440227,0.263789979,0.263789979,0.263789979,0.283256122,0.318985641,0.073914424,0.123035583,0.233185208,0.022063608,0.848004819,0.689460484,0.689460484,0.2176003,9270000000.0,0.000611532,0.264246917,0.370785366,0.016881695,0.015552966,0.63062458,0.002898075,0.071046346,0.928953654,0.007530926,0.370465887,0.006540655,0.123007149,0.228293492,0.401782903,0.193403298,0.00067767,0.00932127,0.00026177,0.001191484,0.038870968,0.023603543,0.398283621,0.00268687,0.869056562,0.638963584,0.672856872,0.188729593,0.015484157,0.013240095,0.075327726,0.342423357,0.277045107,0.003959926,0.98185659,0.738377488,0.328799529,5540000000.0,0.951413131,0.003208826,0.009353145,0.000154565,0.000152085,0.593988761,0.000122206,0.671585513,0.076698852,0.98185659,0.328799529,0.110979516,0.669333947,0.468458783,0.568754266,0.317816501,0.017377663,0,0.849576191,0.014224984,0.626337718,0.600223226,0.843320141,0.276880796,0.026794695,0.56517521,1,0.054242994,1,1
75,0,0.427923756,0.525294374,0.510626907,0.60397959,0.60397959,0.998874339,0.797296495,0.809291742,0.303560056,0.781536852,0.000261107,0.000188292,0.433964923,0.00120112,0.0,0.168640175,0.168640175,0.168640175,0.212158457,0.277675603,0.018784881,0.087615015,0.161482263,0.052845025,0.848074602,0.689648091,0.689648091,0.217618186,0.000264477,0.000990939,0.265452907,0.309219105,0.017880131,0.005907769,0.628280092,0.003973226,0.089488164,0.910511836,0.007511571,0.37060009,0.005365848,0.087628446,0.163283312,0.407104283,0.193403298,0.002414454,0.002618939,4640000000.0,0.001208127,0.038548387,0.011471292,0.388627575,0.001616545,0.914311776,0.362906908,0.903765709,0.088193603,0.006916455,0.004886998,0.095494722,0.258394735,0.277440567,0.028648688,0.999201254,0.741635271,0.329796733,0.0,0.924844107,0.002215895,0.037388482,0.000289517,0.000114502,0.594051997,7650000000.0,0.671565893,0.070841828,0.999201254,0.329796733,0.110933234,0.633381179,0.456605728,0.321764821,0.313286918,0.016406425,0,0.792870855,0.000814873,0.623773663,0.603975363,0.839835434,0.277660573,0.026700291,0.564684368,1,0.042723803,1,1
125,0,0.412177643,0.474269516,0.457733283,0.0,0.0,0.988045253,0.784311721,0.796606875,0.303525735,0.76787408,0.001407412,0.0,0.0,0.000345035,0.0,0.199443766,0.199443766,0.199443766,0.1987331,0.314599986,0.00025712,0.082078007,0.156737215,0.021600642,0.847191424,0.683591049,0.683591049,0.216859401,8580000000.0,0.000520174,0.262967884,0.372238367,1.0,1.0,0.63060506,474000000.0,0.001511624,0.998488376,0.004715752,0.369637181,0.006179317,0.082075333,0.156805671,0.393662843,0.00149925,0.049356315,0.000128086,19100000.0,0.0,0.009032258,0.00937679,0.050914724,0.0,0.818354549,0.253037822,0.242416821,0.000904087,1.0,0.010061762,0.0,0.231267612,0.27697486,0.0,0.063817399,0.734744723,0.326174539,0.0,0.931763592,0.0,0.002265579,0.007307076,0.007655675,0.598914538,6880000000.0,0.670040811,0.0,0.063817399,0.326174539,0.110933234,0.616907979,0.343843673,0.544180131,0.312114571,0.0,0,0.766285396,0.002466234,0.626785524,0.0,0.83865161,0.27481328,0.026788892,0.565147576,1,0.7435883,1,1
208,1,0.196802028,0.211022678,0.22142513,0.598055608,0.598055608,0.998933499,0.796144258,0.80814874,0.301423437,0.780388498,0.000106848,1880000000.0,0.472751063,0.000234023,0.0,0.069655725,0.069655725,0.069655725,0.079512149,0.340348023,0.02575737,0.091930625,0.054304436,0.021973878,0.847907578,0.687914932,0.687914932,0.217439263,2590000000.0,0.0,0.259533301,0.432426139,0.004788129,0.00236186,0.630535883,0.021101779,0.525410406,0.474589594,0.004476848,0.357055625,0.0,0.092009054,0.05712993,0.3915501,0.100449775,0.000683757,0.009254666,0.000222409,0.000173994,0.158870968,0.068422367,0.385755636,0.032154376,0.723172153,0.403605928,0.434590988,0.024764462,0.004374054,0.000792444,0.165715001,0.35110574,0.27673381,0.001425819,0.29523926,0.733394575,0.320395323,0.038191325,0.777636588,0.001996108,0.202040143,0.000111612,0.000108585,0.593894846,1840000000.0,0.671571738,0.275408235,0.29523926,0.320395323,0.090262866,0.641956613,0.459226216,0.738860179,0.314685491,0.059373727,1,0.519387511,0.017587653,0.623464755,0.59805138,0.856906171,0.259279798,0.026769363,0.565052292,1,0.00394628,1,1
228,0,0.477063326,0.509703445,0.516890626,0.594481039,0.594654002,0.99895788,0.797326515,0.809074963,0.303437756,0.781490676,2790000000.0,0.0,0.461550204,0.000151015,0.0,0.15654629,0.15654629,0.15654629,0.203271249,0.317783122,0.034000333,0.094780555,0.166151992,0.021966356,0.848133151,0.688961862,0.689494185,0.217603456,3000000000.0,0.000293014,0.26406664,0.377808204,0.008138508,0.008017597,0.630330406,0.015493484,0.186504217,0.813495783,0.254191414,0.374083783,0.005365848,0.094753041,0.162393485,0.418798724,0.122938531,0.000359125,0.017591379,0.000286418,0.000271583,0.036451613,0.03683739,0.391601275,23200000.0,0.811924965,0.865250075,0.853293282,0.020187778,0.008037865,0.000549833,0.194780636,0.34114598,0.277029244,0.000616871,0.999796819,0.738736252,0.339997995,0.0,0.910259833,0.001520418,0.015347115,0.000199174,0.000208297,0.593952908,1300000000.0,0.671566052,0.000424338,0.999796819,0.339997995,0.110933234,0.630426674,0.457555784,0.56756638,0.311432145,0.035688,0,0.732172397,0.002994811,0.623263913,0.594482065,0.832097339,0.286015202,0.026685285,0.564597372,1,0.018772695,1,1
235,0,0.450153561,0.512374618,0.497403501,0.602307615,0.602307615,0.998991966,0.797358887,0.809283409,0.303423012,0.781539238,0.000116562,0.0,0.46162066,0.00059606,0.0,0.168724453,0.168724453,0.168724453,0.206202137,0.318490486,0.073460683,0.105935999,0.164344355,0.022129049,0.84824952,0.688494229,0.688494229,0.21748947,0.000103792,0.000429215,0.263487734,0.378441563,0.00798063,0.005440512,0.630458487,0.017310025,0.194122804,0.805877196,0.047690857,0.371015002,0.011054646,0.105932548,0.163381344,0.415521762,0.290854573,0.001057085,0.005979071,0.000295781,0.045375491,0.082419355,0.040709134,0.396191855,9570000000.0,0.8077616,0.757453554,0.84089234,0.121612035,0.006993074,0.003297698,0.195640328,0.341332361,0.277250792,0.002905102,0.965105337,0.738741036,0.341079002,530000000.0,0.929819055,0.002196214,0.047072258,0.000130846,0.000122351,0.593939244,5430000000.0,0.671575146,0.002295814,0.965105337,0.341079002,0.110945296,0.651181523,0.460365297,0.568851145,0.316786817,0.036375158,0,0.786651339,0.000486169,0.623823666,0.602302498,0.83879778,0.28733259,0.026736949,0.564885949,1,0.017883309,1,1
242,0,0.487641983,0.558329699,0.540285883,0.610746768,0.610746768,0.999169562,0.797615508,0.809512427,0.303499873,0.781785694,7420000000.0,0.0,0.461389161,0.000557056,0.072881871,0.18941469,0.18941469,0.18941469,0.237118276,0.317570913,0.023034923,0.117661428,0.189199367,0.022028004,0.847989514,0.689277551,0.689277551,0.217579381,4390000000.0,0.000452548,0.263687437,0.366072427,0.009143809,0.000205867,0.632286544,0.015346666,0.185839103,0.814160897,0.264241324,0.385312123,0.005365848,0.117307473,0.18822864,0.427117064,0.047976012,0.001736784,0.00363936,516000000.0,0.057557375,0.025322581,0.157684003,0.50171864,0.000288566,0.839539817,0.027218959,0.951029616,0.0137368,0.000162038,0.00037596,0.193832614,0.340664182,0.278399639,0.023535813,0.998396338,0.741743648,0.339849142,0.0,0.941313897,0.002776617,0.005866551,0.000703622,1630000000.0,0.594082163,2670000000.0,0.671574313,0.00041034,0.998396338,0.339849142,0.110933234,0.644268601,0.459459193,0.564674227,0.314900041,0.031859439,0,0.814737146,0.005205484,0.620140845,0.610744092,0.842366936,0.285908742,0.02679996,0.565200024,1,0.018853683,1,1
277,0,0.479013309,0.530854775,0.53257669,0.596325978,0.596325978,0.998958457,0.797336476,0.80926414,0.30345395,0.781515378,5410000000.0,0.0,0.463029785,0.000575058,0.0,0.147191437,0.147191437,0.147191437,0.211307554,0.320011318,0.014428967,0.095024835,0.167658357,0.022417391,0.848152903,0.689639637,0.689639637,0.217620499,6140000000.0,0.000428916,0.264344049,0.379074923,0.002471131,0.001527785,0.897787359,0.022284537,0.210508813,0.789491187,0.004856296,0.385128712,0.005365848,0.095038025,0.166676721,0.39967284,0.077961019,0.001822,0.003470286,0.000153623,5300000000.0,0.037580645,0.014608639,0.391827412,0.03453373,0.68929055,0.110892526,0.17179904,0.01396277,0.001593011,0.000601324,0.123007423,0.343419751,0.276827773,0.002625045,0.55451046,0.723256587,0.337313324,0.014773387,0.906082763,0.002136405,0.010178612,7860000000.0,5240000000.0,0.593834076,1900000000.0,0.671569585,0.758667815,0.55451046,0.337313324,0.119360611,0.64034779,0.458959182,0.583310187,0.313741618,0.109193662,0,0.790366215,0.007621998,0.625357066,0.596325735,0.839154831,0.290940292,0.025297815,0.582393857,1,0.016185484,1,1
283,0,0.464095939,0.530854775,0.514267359,0.603626458,0.603626458,0.99893685,0.797375626,0.809305803,0.303567548,0.78154008,0.000192882,0.0,0.560769315,0.000731073,0.0,0.167460284,0.167460284,0.167460284,0.212631181,0.335573318,0.017030416,0.093314877,0.16961663,0.022357008,0.848019982,0.689547622,0.689547622,0.21759878,6620000000.0,0.000444712,0.26408529,0.417476994,0.020416785,0.017139392,0.645824372,0.000989431,0.028781328,0.971218672,0.005194198,0.37012926,0.005365848,0.093295553,0.168675062,0.394616725,0.152923538,0.008472908,0.000746316,0.000749579,0.000210306,0.027096774,0.01463214,0.390775876,0.01346863,0.795481994,0.20571108,0.228195801,0.022031629,0.017812671,0.005386127,0.02127531,0.531802263,0.2770697,0.00707314,0.634752139,0.733980691,0.326799876,0.005120963,0.930838946,0.002228708,0.033764967,5020000000.0,4970000000.0,0.593945888,159000000.0,0.671574651,0.556970041,0.634752139,0.326799876,0.112181265,0.647153214,0.462614482,0.763991244,0.315004516,0.014360912,0,0.795701438,0.000667484,0.623871986,0.603625048,0.840027483,0.275496947,0.026306483,0.560889448,1,0.128911853,1,1
